       name      kind        type       value       address       lev
_____________________________________________________________________________________
      size          2          1          0  268435460          0 
       sym          4          2        100  268435464          0 
    choice          0          1          0  268435864          1 
         i          2          1          0  268435868          1 
    assign          0          5          0  268435872          2 
         i          2          1          0  268435876          2 
    charac          0          5          0  268435880          3 
         i          2          1          0  268435884          3 
 character          2          2          0  268435888          3 
    result          2          2          0  268435892          3 
      numb          0          5          0  268435896          4 
         i          2          1          0  268435900          4 
    result          2          1          0  268435904          4 
       end          0          5          0  268435908          5 
         i          2          1          0  268435912          5 
      main          0          5          0  268435916          6 
         i          2          1          0  268435920          6 
